date,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,title,Project,Companies,Theme,tags
2005-05-01T07:00:00Z,Software bug causes 2004-2005 Toyota Prius to stall,"20,000 cars recalled",20000,,,,,,,,,US,Operational Failure,Commercial,,,Auto and Land Transport,http://articles.latimes.com/2005/may/18/business/fi-cars18,Prius Glitches Highlight Problems of Car Computers,,Toyota,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - units recalled"
2009-11-01T07:00:00Z,Toyota Offers to Fix Gas Pedals and Software to Stop Runaway Cars,Toyota addresses the root cause of the potential risk for floor mat entrapment of accelerator pedals in certain Toyota and Lexus models.,,,,,,,2.50E+08,$,USD,US,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/toyota-will-offer-to-fix-gas-pedals-and-software-in-its-cars-to-stop-runaways,Toyota Will Offer To Fix Gas Pedals and Software In Its Cars To Stop Runaways,,Toyota,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,$,,Toyota,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-08-01T07:00:00Z,US Government Can't Find Any Electronic Cause to Toyota SUA,Interim report blames driver error for SUA,,,,,,3000,,,,US,Operational Failure,Other,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/us-government-says-cant-find-any-toyota-electronic-throttle-flaws-yet,US Government Says Can't Find Any Toyota Electronic Throttle Flaws,,Toyota,cars,"US,Operational Failure,Other,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - customers affected"
2010-08-01T07:00:00Z,Honda Updates Software on 2006-2008 Civic Hybrids to Extend Failing Batteries,"Batteries degrading prematurely, 100,000 Civics affected",,,,,,100000,,,,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/software-fix-extends-failing-batteries-in-20062008-honda-civic-hybrids-is-cost-acceptable; http://www.hybridcars.com/civic-hybrid-owners-disappointed-battery-software-fix-28450/,Software Fix Extends Failing Batteries in 2006-2008 Honda Civic Hybrids: Is Cost Acceptable? || Civic Hybrid Owners Disappointed with Battery Software Fix,,,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - customers affected"
2011-08-01T07:00:00Z,Honda Recalls 2.5 Million Vehicles for Transmission Software Updates,"Accords, CR-Vs and Elements recalled, 1.5 Million in US",1500000,,,,,,,,,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/honda-recalls-936000-more-vehicles-for-electrical-and-software-fixes,Honda Recalls 936 000 More Vehicles for Electrical and Software Fixes,,,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2014-01-01T07:00:00Z,"GM Recalls 370,000 Pickup Trucks for Software Update to Reduce Fire Risk",Recall hits 2014 Chevrolet Silverado and GMC Sierra,370000,,,,,,,,,US,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/gm-recalls-370-000-pickup-trucks-for-software-update-to-reduce-fire-risk,GM Recalls 370 000 Pickup Trucks for Software Update to Reduce Fire Risk,,,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2014-02-01T07:00:00Z,Toyota Recalls 1.9 Million Prius Hybrids to Fix Software Flaw,Glitch in power converter might cause car to slow down and stop unexpectedly,1900000,,,,,,,,,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,Nissan Recalls Nearly 1 Million Cars for Air Bag Software Fix,,Toyota,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - units recalled"
2014-03-01T07:00:00Z,Nissan Recalls 1 Million Cars to Fix Air Bag Control Software,"The software installed on the vehicles…may incorrectly determine that the passenger seat is empty when it is, in fact, occupied",1000000,,,,,,,,,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,Nissan Recalls Nearly 1 Million Cars for Air Bag Software Fix,,,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2005-03-01T07:00:00Z,Hudson Bay Co. ERP System Problems Contribute to Losses,$10 Million,,,,,,,1.00E+07,$,CAD,Canada,Operational Failure,Commercial,,,Retail,http://www.itbusiness.ca/news/hudsons-bay-cio-explains-big-ticket-it-problems/7791,Hudson’s Bay CIO explains ‘big ticket’ IT problems,,,ERP,"Canada,Operational Failure,Commercial,,,Retail,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-03-01T07:00:00Z,Waste Management Sues SAP for  Over $450 Million for Failed ERP Project,Really wants $1 Billion for what it calls fraudulent sales scheme,,,,,,,1.00E+09,$,USD,US,Project Failure,Commercial,,,Unknown,http://www.infoworld.com/article/2648303/applications/waste-management-sues-sap-over-erp-implementation.html,Waste Management sues SAP over ERP implementation,,,ERP,"US,Project Failure,Commercial,,,Unknown,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-05-01T07:00:00Z,Waste Management Sues SAP for more than $100 Million Over Failed ERP Implementation,Eventual cost was at leat $80 million (see May 2010 settlement),,,,,,,8.00E+07,$,USD,US,Project Failure,Commercial,,,Unknown,http://www.computerworld.com/article/2536212/enterprise-applications/waste-management-sues-sap-over-erp-implementation.html,Waste Management sues SAP over ERP implementation,,,ERP,"US,Project Failure,Commercial,,,Unknown,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-07-01T07:00:00Z,Levi Strauss Reports 2nd Quarter Profits Hurt by ERP Integration That Stopped Orders for a Week,Cost hit was $47 Million,,,1,weeks,168,,4.70E+07,$,USD,US,Operational Failure,Commercial,,,Retail,http://www.accountingweb.com/topic/technology/levi-strauss-blames-profit-drop-sap-enterprise-software-system,Levi Strauss blames profit drop on SAP enterprise software system,,,ERP,"US,Operational Failure,Commercial,,,Retail,$,ERP,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Qty,Impact - Currency"
2009-09-01T07:00:00Z,"UN ""Umoja"" ERP Project Late and Over budget",Cost jumps from $286 Million to $337 Million and slips 18 months,,,,,,,2.86E+08,$,USD,UN,Operational Failure,Other,,,,http://spectrum.ieee.org/riskfactor/computing/it/un-umoja-it-project-running-late-and-over-budget,"UN ""Umoja"" IT Project Running Late and Over Budget?",,,ERP,"UN,Operational Failure,Other,,,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-05-01T07:00:00Z,Waste Management and SAP Settle Lawsuit for $80 Million,Estimated cost was $80 million - this is the amount SAP was suing its insurer Swiss Re for to cover the settlement,,,,,,,80000000,$,USD,US,Project Failure,Commercial,,,Unknown,http://www.computerworld.com/article/2506049/data-center/sap-sues-insurer-over-waste-management-lawsuit-settlement.html; http://www.computerworld.com/article/2506049/data-center/sap-sues-insurer-over-waste-management-lawsuit-settlement.html,SAP sues insurer over Waste Management lawsuit settlement || SAP sues insurer over Waste Management lawsuit settlement,,,ERP,"US,Project Failure,Commercial,,,Unknown,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-11-01T07:00:00Z,"Portland, Oregon's Financial System Late and Over-budget",Original plan: $14 Million and 14-months to develop; actual $47 Million and 30-months,,,,,,,4.70E+07,$,USD,US,Operational Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/city-of-portland-financial-and-hrpayroll-project-overbudget-by-over-30-million,"City of Portland Financial and HR/Payroll Project ""Over-budget"" by Over $30 Million",,,ERP,"US,Operational Failure,Government,State/Local,Finance and Treasury,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-11-01T07:00:00Z,US Air Force Cancels $1 Billion Expeditionary Combat Support System (ECSS),Air Force admits that effort produced no significant military capability,,,,,,,1000000000,$,USD,US,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/aerospace/military/us-air-force-blows-1-billion-on-failed-erp-project,U.S. Air Force Blows $1 Billion on Failed ERP Project,,,"ERP, project termination/cancellation","US,Project Failure,Government,National,Defense and Veterans Affairs,,$,ERP, project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-11-01T07:00:00Z,Bridgestone Sues IBM for $600 Million over Failed ERP System,IBM says all problems are Bridgestone's,,,,,,,200000000,$,USD,US,Project Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/bridgestone-sues-ibm-for-fraud-in-600-million-lawsuit-over-failed-it-implementation,Bridgestone Sues IBM for Fraud in $600 Million Lawsuit over Failed IT Implementation,,,ERP,"US,Project Failure,Commercial,,,Auto and Land Transport,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-12-01T07:00:00Z,UN Umoja ERP System Costs Keep Growing: Now $360.9 Million,Cost jumps from $286 Million original cost,,,,,,,286000000,$,USD,UN,Operational Failure,Other,,,,http://www.un.org/press/en/2013/gaab4091.doc.htm,"Fifth Committee Delegates Voice Frustration at Cost Overruns, Delays in Umoja/Enterprise Resource Planning Project",,,ERP,"UN,Operational Failure,Other,,,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-11-01T07:00:00Z,USAF $2.1 Billion Defense Enterprise Accounting Management System Enters Last Phase,Scheduled to be scheduled three years late (in 2017) and $1.1 Billion over budget,,,,,,,1100000000,$,USD,US,Operational Failure,Government,National,Defense and Veterans Affairs,,http://defensesystems.com/Articles/2014/11/04/Air-Force-Accenture-DEAMS-final-phase.aspx,Air Force nears finish line on massive ERP project -- Defense Systems,,,ERP,"US,Operational Failure,Government,National,Defense and Veterans Affairs,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-02-01T07:00:00Z,UK National Air Traffic Control System Crashes,Flight delays,,,1,hours,1,,,,,UK,Operational Failure,Commercial,,,Air Transport,http://www.computing.co.uk/ctg/news/1857231/more-failures-nats-west-drayton-control-centre,More system failures at Nats' West Drayton control centre,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-06-01T07:00:00Z,United Airlines finally abandons the automated baggage-handling system at Denver International Airport,Over $186 Million wasted,,,,,,,186000000,$,USD,US,Project Failure,Commercial,,,Air Transport,http://www.nytimes.com/2005/08/27/national/27denver.html?pagewanted=all.&_r=0,Denver Airport Saw the Future. It Didn't Work.,,,"airport/port/customs systems, project termination/cancellation","US,Project Failure,Commercial,,,Air Transport,$,airport/port/customs systems, project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-08-01T07:00:00Z,Virus Patch Takes Down US-Visit Border Screening System,Port of entry delays for a day,,,1,days,24,,,,,US,Operational Failure,Government,National,Customs,,http://archive.wired.com/science/discoveries/news/2006/04/70642?currentPage=all,Border Security System Left Open,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-08-01T07:00:00Z,UK National Air Traffic Control System Crashes,Flight delays,,,20,minutes,0.3333333333,,,,,UK,Operational Failure,Commercial,,,Air Transport,http://www.informationweek.com/tech-workers-still-trying-to-solve-heathrow-computer-outage/d/d-id/1035497?,Tech Workers Still Trying To Solve Heathrow Computer Outage,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-10-01T07:00:00Z,New AU$250 Million Australian Custom Service Integrated Cargo System Fails,Shipping disrupted for three months into Australian ports,,,3,months,2160,,,,AUD,Australia,Operational Failure,Government,National,Customs,,http://www.theage.com.au/news/national/new-customs-it-cargo-system-fails-to-deliver/2005/10/20/1129775901865.html,New Customs IT cargo system fails to deliver,,,airport/port/customs systems,"Australia,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Currency"
2007-03-01T07:00:00Z,US Airways New Integrated Reservation System Melts Down,Flight delays for over a week,,,3,days,72,,,,,US,Operational Failure,Commercial,,,Air Transport,http://usatoday30.usatoday.com/travel/flights/2007-03-05-us-airways-monday-update_N.htm,US Airways' ticketing system problems persist,,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-03-01T07:00:00Z,FAA New York ATOP System Software Fails,International Flight,,,1,hours,1,,,,,US,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,A System Burp,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-05-01T07:00:00Z,All Nippon Airways Reservation System Crashes,"131 flights cancelled, 70,000 passengers affected",,,,,,70000,,,,Japan,Operational Failure,Commercial,,,Air Transport,http://www.infoworld.com/article/2662290/operating-systems/ana-still-in-the-dark-on-reservation-systems-failure.html,ANA still in the dark on reservation systems failure,,,airport/port/customs systems,"Japan,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2007-05-01T07:00:00Z,FAA San Diego TRACON Mapping Software Fails,Flight delays along West Coast,,,1,hours,1,,,,,US,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,A System Burp,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-06-01T07:00:00Z,FAA Atlanta Air Traffic Control Center Computer Fails,Flight cancellations and delays along East Coast,,,1,hours,1,,,,,US,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,A System Burp,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-06-01T07:00:00Z,United Airlines Flight and Dispatch Goes Down,United Flights grounded worldwide for two hours,,,2,hours,2,,,,,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/airline_systems_meltdowns,Airline Systems Meltdowns,,,airport/port/customs systems,"Worldwide,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-01-01T07:00:00Z,DIA Automated Baggage System to be Demolished,$9 Million over four years to demolish and cart away system,,,,,,,9.00E+06,$,USD,US,Project Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/dia_the_final_end_of_the_autom,The Final End of the Automated Baggage System,,,airport/port/customs systems,"US,Project Failure,Commercial,,,Air Transport,$,airport/port/customs systems,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-02-01T07:00:00Z,Software Update Crashes London Heathrow T4 Baggage System,"Baggage for 4,000 passengers affected",,,,,,4000,,,,UK,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/baggage_meltdown_at_heathrow,Baggage Meltdown at Heathrow,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2008-03-01T07:00:00Z,New London Heathrow T5 Baggage System Melts Down,"Dozens of flights cancelled and delayed over a course of a week, over 25000 passengers and their bags  affected",,,,,,25000,,,,UK,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/heathrow_terminal_5_a_bit_sham,Heathrow Terminal 5: A Bit Shambolic,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2008-04-01T07:00:00Z,New London Heathrow T5 Baggage System Melts Crash Again,"12 flights canceled, dozens delayed",,,,,,,50000000,$,USD,UK,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/britsh_airways_terminal_5_back,British Airways Back to Normal: Terminal 5 Baggage System Down Again,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,$,airport/port/customs systems,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-08-01T07:00:00Z,Computer Problem Crashes London Heathrow T3 Check-in and Baggage System,"Outage last for hours, 2,000 passengers flew without their bags",,,,,,2000,,,,UK,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/heathrow_baggage_problems_agai,Heathrow Baggage Problems Again,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2008-08-01T07:00:00Z,FAA Computer Problems Stalls Flights Across Eastern US,"Outage lasts for hours, hundreds of flights delayed",,,1,days,24,,,,,US,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/software_problem_halts_us_flig,Software Problem Halts US Flights,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-09-01T07:00:00Z,All Nippon Airways Reservation System Crashes,"Cancel 53 domestic flights and delay 200 others, affecting over 51,000 passengers",,,1,days,24,51000,,,,Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/software_problems_halts_ana_fl,Software Problem Halts ANA Flights in Japan,,,airport/port/customs systems,"Japan,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2008-09-01T07:00:00Z,UK NATS Computer System Software Problem Cancels Flights,"100 flights canceled, dozens grounded for 30 minutes, untold others delayed across UK/Europe",,,0.5,hours,0.5,,,,,UK,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/atc_software_problem_hits_uk_a,ATC Software Problem Hits UK Airports,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-07-01T07:00:00Z,United Airlines Check-in System Crashes,"System out for 4 hours, several flight cancelled, dozens delayed",,,4,hours,4,,,,,US,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/united-airlines-computer-go-out-at-ohare,United Airlines Check-in Computer Goes Out At O'Hare,,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-07-01T07:00:00Z,US Customs Computers Crash Across US,Thousands of travelers affected for four hours,,,4,hours,4,,,,,US,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/another-computer-outage-at-ohare-airport,Another Computer Outage at O'Hare Airport,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-11-01T07:00:00Z,FAA's Atlanta Flight Planning System Problem Hits East Coast Flights,"Outage lasts five hours, 819 flights delayed",,,5,hours,5,,,,,US,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/faa-computer-problem-causes-widespread-flight-delays-in-us,FAA Computer Problem Causes Widespread Flight Delays in US,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-04-01T07:00:00Z,US Customs Computer Crashes Across US,Thousands of international passengers faced delays,,,2,hours,2,,,,,US,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/us-customs-and-border-protection-computer-crashes-last-week-causing-delays-at-airports,US Customs and Border Protection Computer Crashes Last Week Causing Delays at US Airports,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-06-01T07:00:00Z,Virgin Blue's New AU$10 Million Reservation & Ticketing System Crashes,Airline flight delayed for several hours,,,95,minutes,1.583333333,,,,AUD,Australia,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/virgin-blues-brand-new-airline-reservations-system-crashes,Virgin Blue's Brand New Airline Reservation & Ticketing System Crashes,,,airport/port/customs systems,"Australia,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Currency"
2010-09-01T07:00:00Z,Virgin Blue's New AU$10 Million Reservation & Ticketing System Crashes Twice Within Days,Over 50000 passengers and 400 flights affected,,,21,hours,21,50000,,,AUD,Australia,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/up-to-100000-passengers-of-virgin-blue-in-australia-impacted-by-reservation-checkin-system-crash,"More Than 50,000 Passengers of Virgin Blue in Australia Impacted by Reservation & Check-in System Crash",,,airport/port/customs systems,"Australia,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Currency"
