Program,date,Currency,Estimated cost to develop,Payroll development cost,Total life cycle cost,Annual maintenance & operational costs,Maintenance & operational costs,Monies spent to date,Total committed spending,Estimated schedule,Headline,Notes,url,extrapolated,extra label
California’s Disability Insurance Automation Upgrade,2006-01-01T00:00:00Z,US $,,,3.50E+07,3200000,,,,2009-06-01T00:00:00Z,Project Officially Starts,The Disability Insurance Automation project aims to automate a number of manual work processes involved when filing for a disability insurance claim.,,,
California’s Disability Insurance Automation Upgrade,2007-11-01T00:00:00Z,US $,,,3.30E+07,3700000,,,,2011-05-01T00:00:00Z,Project Rescoped,"Procurement issues cause the schedule to slip, but the project cost is reduced.",,,
California’s Disability Insurance Automation Upgrade,2009-11-01T00:00:00Z,US $,5.20E+07,,1.19E+08,6900000,,,,2013-01-01T00:00:00Z,Project Reassessed and Reset,"California’s Employment Development Department recognizes that it underestimated the complexity and effort required to create the system, so the project is rescoped. Deloitte Consulting will be paid US $52 million to build the system. Development now begins in earnest.",,,
California’s Disability Insurance Automation Upgrade,2011-11-01T00:00:00Z,US $,6.00E+07,,1.58E+08,8800000,,,,2013-06-01T00:00:00Z,Project Scope Changed,"Changes in the project’s scope increase life cycle costs and delay the schedule. Development costs climb another US $8 million.

A state legislative report from May 2012 attributed the higher price tag to “costs that often accrue over the life span of a project, including increased state staffing needs, enhanced system functionality or scope increases, and data center costs, among other things.”",,,
California’s Disability Insurance Automation Upgrade,2012-11-01T00:00:00Z,US $,6.00E+07,,1.58E+08,8800000,,6.00E+07,,2012-11-01T00:00:00Z,System Launches Early,"The system launches “ahead of schedule,” but there are several months of working through frustrating transition issues.

It is clear that the total development cost will be more than US $60 million if we include the state’s incurred costs, but we don’t know those costs because the details of the total amount spent on the project aren’t broken out in any audit report.",,,
California’s Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US $,3.80E+07,,,,,,,2006-11-01T00:00:00Z,California’s Unemployment Insurance Modernization Project Officially Starts,"California’s Employment Development Department (EDD) originally plans two system developments. The Call Center Network Platform and Application Upgrade (CCNPAU) is meant to create a single networked infrastructure for EDD’s call centers that will interact with an intelligent call routing system. The Continued Claims Redesign (CCR) is intended to develop a website and a telephone application that will allow customers to file unemployment insurance claims and to recertify on a biweekly basis by Internet or phone.

The Call Center project is targeted for completion in 2006. The Continued Claims Redesign effort had a larger budget and timeline.",,,CCNPAU
California’s Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US $,5.80E+07,,,,,,,2008-06-01T00:00:00Z,California’s Unemployment Insurance Modernization Project Officially Starts,"California’s Employment Development Department (EDD) originally plans two system developments. The Call Center Network Platform and Application Upgrade (CCNPAU) is meant to create a single networked infrastructure for EDD’s call centers that will interact with an intelligent call routing system. The Continued Claims Redesign (CCR) is intended to develop a website and a telephone application that will allow customers to file unemployment insurance claims and to recertify on a biweekly basis by Internet or phone.

The Call Center project is targeted for completion in 2006. The Continued Claims Redesign effort had a larger budget and timeline.",,,CCR
California’s Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US $,4.80E+07,,,,,,,2010-04-01T00:00:00Z,Projects Merge,"Only a few months ahead of CCNPAU’s original completion date, both projects are merged into one due to multiple interdependencies. From what <i>IEEE Spectrum</i> has pieced together, nothing much has happened during the intervening three years. One document says that a project planning phase started in July 2005 and ran into 2006. What happened in 2004 seems to be a mystery.

The merged projects maintain separate schedules. CCNPAU completion is pushed back four years, longer than the initial scheduled development time. CCR also receives an increased estimate and a delayed launch date.",,,CCNPAU
California’s Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US $,6.50E+07,,,,,,,2011-09-01T00:00:00Z,Projects Merge,"Only a few months ahead of CCNPAU’s original completion date, both projects are merged into one due to multiple interdependencies. From what <i>IEEE Spectrum</i> has pieced together, nothing much has happened during the intervening three years. One document says that a project planning phase started in July 2005 and ran into 2006. What happened in 2004 seems to be a mystery.

The merged projects maintain separate schedules. CCNPAU completion is pushed back four years, longer than the initial scheduled development time. CCR also receives an increased estimate and a delayed launch date.",,,CCR
California’s Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US $,5.60E+07,,,,,,,2009-09-01T00:00:00Z,Project Costs Increase,"Due to changes in the procurement approach, the cost of CCNPAU rises yet again, but the timeline is optimistically reduced. Meanwhile, CCR costs and delays continue to mount. ",,,CCNPAU
California’s Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US $,7.10E+07,,,,,,,2012-06-01T00:00:00Z,Project Costs Increase,"Due to changes in the procurement approach, the cost of CCNPAU rises yet again, but the timeline is optimistically reduced. Meanwhile, CCR costs and delays continue to mount. ",,,CCR
California’s Unemployment Insurance Modernization,2009-09-01T00:00:00Z,US $,7.10E+07,,,,,,,2011-01-01T00:00:00Z,More Cost Increases and Delays,"Another two years into the project, CCNPAU costs and delays are growing again. But now CCR sees a schedule reduction! (The completion date is only moved up a single month, however.) ",,,CCNPAU
California’s Unemployment Insurance Modernization,2009-09-01T00:00:00Z,US $,8.70E+07,,,,,,,2012-05-01T00:00:00Z,More Cost Increases and Delays,"Another two years into the project, CCNPAU costs and delays are growing again. But now CCR sees a schedule reduction! (The completion date is only moved up a single month, however.) ",,,CCR
California’s Unemployment Insurance Modernization,2011-05-01T00:00:00Z,US $,8.10E+07,,,,,8.10E+07,,2011-05-01T00:00:00Z,Call Center Upgrade Launches,"CCNPAU rolls out in May 2011, missing its 2009 deadline by four months (and the original deadline by more than four years). It isn’t a smooth launch; complaints about call wait times are rampant.",,,CCNPAU
California’s Unemployment Insurance Modernization,2012-04-01T00:00:00Z,US $,1.06E+08,,,,,,,2013-05-01T00:00:00Z,More Delays,CCR’s launch is delayed by another year.,,,CCR
California’s Unemployment Insurance Modernization,2013-09-02T00:00:00Z,US $,1.06E+08,,,,,1.06E+08,,2013-09-02T00:00:00Z,Claims Redesign System Launches,"CCR is rolled out over Labor Day weekend, also four months off its final deadline (but more than five years late, according to the original schedule). What’s more, the launch is a <a href=""http://spectrum.ieee.org/riskfactor/computing/it/californias-edd-unemployment-system-disaster-predicted-fiasco"">total disaster</a>. Since launch, the state has spent approximately US $4 million on upgrading and fixing CCR.",,,CCR
Queensland Health’s Payroll Replacement System ,2007-12-05T00:00:00Z,AU $,9.80E+07,6.19E+06,,,,,,2008-07-31T00:00:00Z,IBM Wins Contract for Queensland Health’s Payroll Replacement System,"IBM is awarded a AU $98 million Shared Services Initiative (SSI) contract to provide statewide human resources and financial solutions in Queensland, Australia.

A small portion of this contract, AU $6.19 million, is budgeted for creating a new payroll system at Queensland Health. Considering that the state has already tried (and failed) to build such a system before, it should be aware that this is an impossibly low estimate.",,,
Queensland Health’s Payroll Replacement System ,2008-06-18T00:00:00Z,AU $,1.00E+08,6.19E+06,,,,,,2008-11-18T00:00:00Z,Nothing Delivered Yet,"Six months in, an auditor would later note, nothing of consequence has been delivered. There’s a slight increase in project cost and schedule.",,,
Queensland Health’s Payroll Replacement System ,2008-10-01T00:00:00Z,AU $,1.81E+08,1.00E+08,,,,3.20E+07,,2009-04-01T00:00:00Z,Focus Now on Payroll,"The payroll system is still not close to being completed. IBM now says that the cost to provide statewide human resources and a financial solution for Queensland Health is now AU $181 million. That’s too much, so the larger initiative is scrapped.

Instead, the new focus will be on getting the Queensland Health payroll system to work. IBM has already spent a total of AU $32 million of its AU $98 million contract, including monies spent on the payroll system.

A total reassessment of the project should have been made, and a new project cost and schedule calculated just to do the payroll system. But this wasn’t done. The payroll system development—intended to be a quick, low-cost solution—spiraled totally out of control.

A late November 2008 go-live-date was anticipated, but this was soon reset for the March/April 2009 timeframe. This would prove hopelessly optimistic as well.",,,
Queensland Health’s Payroll Replacement System ,2010-03-14T00:00:00Z,AU $,,1.02E+08,,,,1.02E+08,,2010-03-14T00:00:00Z,System Launches Prematurely,"There was a lot of work during the next year, but little progress, and the deployment schedule slipped muliple times. The major problem is the complexity of the labor contracts and labor categories involved. There are reportedly 24,000 different ways the staff can be paid, based on 13 different award structures and 13 labor agreements. The schedule slips were generally due to the project’s failure to stabilize the system sufficiently to pass tests.

According to a later inquiry report, “On 14 March 2010 after ten aborted attempts to deliver the new payroll system, it ‘went live.’ It was a catastrophic failure…”

When the system (still not fully tested) goes live, the effects are disastrous: more than 18,000 staff affected, with 1,800 not paid or underpaid. The total staff numbers 78,000. Many employees get the correct pay one pay period but not the next. The total number of affected staff who had at least one pay period screwed up is unknown. In total, there are AU $14.5 million in salary glitches.

IBM’s cost for payroll system now is AU $25 million (it has been paid AU $22 million); the government says that the total cost of the payroll system, including its own expenditures, amounts to $102 million.",,,
Queensland Health’s Payroll Replacement System ,2010-11-01T00:00:00Z,AU $,,3.11E+08,,,,1.02E+08,,2011-07-01T00:00:00Z,Time to Go All-in,The government decides to spend another AU $209 million to try to fix the system.,,,
Queensland Health’s Payroll Replacement System ,2011-07-01T00:00:00Z,AU $,,3.11E+08,,,,3.11E+08,,2011-07-01T00:00:00Z,System Relaunches,The government claims that the payroll system is stabilized.,,,
Queensland Health’s Payroll Replacement System ,2012-06-01T00:00:00Z,AU $,,4.40E+08,1.37E+09,,8.37E+08,4.16E+08,,2017-07-03T00:00:00Z,Not Over Yet,"At least AU $440 million will be spent on developing the system. Up to another AU $100 million may be needed to fix the system completely, while AU $837 million will be needed to operate it for the next five years; AU $91 million in salary overpayments are still outstanding. The total life cycle cost is at least AU $1.25 billion. As of 31 May 2012, 200,000 processes were still being performed manually on 92,000 forms every two-week pay period by more than 1,000 Queensland Health payroll employees. In order to make it work, the payroll system needs thousands of modifications and customizations, with some 130 manual workarounds being employed.

Some AU $5 million has been spent by the inquiry that was set up to try to make sense of what happened.",,,
The United Kingdom’s FiReControl System,2004-03-01T00:00:00Z,£,1.20E+08,,,,,,,2009-10-01T00:00:00Z,FiReControl Project Start,"FiReControl aims to replace 46 local control rooms with a network of nine purpose-built regional control centers, which will use a national computer system to handle calls, mobilize equipment, and manage incidents. Initial rollout is due in October 2007, with a final rollout scheduled for October 2009.

Project costs include both IT and facility construction costs, since neither can operate without the other.",,,
The United Kingdom’s FiReControl System,2007-06-01T00:00:00Z,£,3.40E+08,,,,,,,2011-10-01T00:00:00Z,Reality Creeps In,"By February 2006, the people involved begin to realize that the project has been severely underestimated in both size and complexity—especially the information technology required. The FiReControl project is reassessed, and a new estimate of £340 million is published. The European Aeronautic Defence and Space Company (EADS) is hired as the prime contractor in March 2007 to develop the IT system required; the contract could be worth up to £200 million over eight years. The initial rollout is now set for October 2009, with a final completion date set for end of 2011.",,,
The United Kingdom’s FiReControl System,2008-07-01T00:00:00Z,£,3.80E+08,,,,,,,2012-01-01T00:00:00Z,Reality Bites Hard,"The project is poorly managed, with little government oversight. In April 2008, EADS admits that the technology needed to develop a critical element of the system is no longer working. Fully operational system is now set for early 2012.",,,
The United Kingdom’s FiReControl System,2009-05-01T00:00:00Z,£,3.80E+08,,,,,,,2012-12-01T00:00:00Z,Project Problems Abound,"The project cost stays the same, but the schedule drifts. A major review discovers ineffective project management, poor project planning, and poor working relationships between suppliers and the government.",,,
The United Kingdom’s FiReControl System,2010-12-01T00:00:00Z,£,6.35E+08,,,,,2.50E+08,4.69E+08,2015-12-31T00:00:00Z,Project Terminated,"Project is terminated after £250 million has been spent. There’s another £219 million in already committed costs, bumping the total spending to £469 million. The final “estimated” cost to complete at FiReControl’s termination had grown to £635 million, with a rollout beginning sometime in 2012 and going through who knows when.",,,
