date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2011-08-01T07:00:00Z,,Honda Recalls 2.5 Million Vehicles for Transmission Software Updates,"Affected models included Accords, CR-Vs and Elements. 1.5 million recalls were in the US.",2500000,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/honda-recalls-936000-more-vehicles-for-electrical-and-software-fixes,,,,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2014-01-01T07:00:00Z,,"GM Recalls 370,000 Pickup Trucks for Software Update to Reduce Fire Risk",The recall hits 2014 Chevrolet Silverado and GMC Sierra models.,370000,,,,,,,,,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/gm-recalls-370-000-pickup-trucks-for-software-update-to-reduce-fire-risk,,,,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2014-02-01T07:00:00Z,,Toyota Recalls 1.9 Million Cars to Fix Software Flaw,Toyota software bug in power converter might cause car to slow down and stop unexpectedly.,1900000,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/toyota-recalls-19-million-prius-hybrids-over-software-flaw,"A New York Times article says that, “The automaker blamed the sensitivity of the software calibration, particularly when ‘a combination of factors such as high engine vibration at idle when the seat is initially empty and then becomes occupied’ or an ‘unusual’ seating posture are factors.”",,Toyota,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - units recalled"
2014-03-01T07:00:00Z,,Nissan Recalls Nearly 1 Million Cars to Fix Air Bag Control Software,"The software installed on the vehicles may incorrectly determine that the passenger seat is empty when it is, in fact, occupied.",989708,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,,,Nissan,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - units recalled"
2005-03-01T07:00:00Z,8072387,Hudson Bay Co. ERP System Problems Contribute to Losses,Losses reached $10 million.,,,,,,,1.0E7,$,CAD,Canada,The Americas,Operational Failure,Commercial,,,Retail,http://www.itbusiness.ca/news/hudsons-bay-cio-explains-big-ticket-it-problems/7791,,,"Microsoft, IBM, Oracle",ERP,"Canada,Operational Failure,Commercial,,,Retail,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-07-01T07:00:00Z,4.7E7,Levi Strauss Reports 2nd Quarter Profits Hurt by ERP Integration That Stopped Orders for a Week,The problem cost $47 million.,,,1,weeks,168,,4.7E7,$,USD,US,The Americas,Operational Failure,Commercial,,,Retail,http://www.accountingweb.com/topic/technology/levi-strauss-blames-profit-drop-sap-enterprise-software-system,,,"Deloitte, SAP",ERP,"US,Operational Failure,Commercial,,,Retail,$,ERP,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Qty,Impact - Currency"
2010-05-01T07:00:00Z,80000000,Waste Management and SAP Settle Lawsuit for $80 Million Over Failed ERP Project,The estimated cost is $80 million - that's the amount SAP was suing its insurer Swiss Re for to cover the settlement.,,,,,,,80000000,$,USD,US,The Americas,Project Failure,Commercial,,,Enery and Utilities,http://www.computerworld.com/article/2506049/data-center/sap-sues-insurer-over-waste-management-lawsuit-settlement.html; http://www.computerworld.com/article/2536212/enterprise-applications/waste-management-sues-sap-over-erp-implementation.html; http://www.infoworld.com/article/2648303/applications/waste-management-sues-sap-over-erp-implementation.html; ,,,"SAP, Waste Management","ERP, project problems","US,Project Failure,Commercial,,,Unknown,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-11-01T07:00:00Z,3.3E7,"Portland, Oregon's Financial System Late and Over-budget","The original plan was $14 million and 14-months to develop. Instead, it took $47 million and 30-months.",,,,,,,3.3E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/city-of-portland-financial-and-hrpayroll-project-overbudget-by-over-30-million,,,SAP,ERP,"US,Operational Failure,Government,State/Local,Finance and Treasury,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-11-01T07:00:00Z,1030000000,US Air Force Cancels $1 Billion Expeditionary Combat Support System (ECSS),Air Force admits that effort produced no significant military capability,,,,,,,1030000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/aerospace/military/us-air-force-blows-1-billion-on-failed-erp-project,,,,"ERP, project termination/cancellation","US,Project Failure,Government,National,Defense and Veterans Affairs,,$,ERP, project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-11-01T07:00:00Z,200000000,Bridgestone Sues IBM for $600 Million over Failed ERP System,IBM says all the problems are Bridgestone's.,,,,,,,200000000,$,USD,US,The Americas,Project Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/bridgestone-sues-ibm-for-fraud-in-600-million-lawsuit-over-failed-it-implementation,,,IBM,ERP,"US,Project Failure,Commercial,,,Auto and Land Transport,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-11-01T07:00:00Z,1100000000,USAF $2.2 Billion Defense Enterprise Accounting Management System Enters Last Phase,The projecet is now scheduled to launch three years late (in 2017) and is $1.1 billion over budget.,,,,,,,1100000000,$,USD,US,The Americas,Operational Failure,Government,National,Defense and Veterans Affairs,,http://defensesystems.com/Articles/2014/11/04/Air-Force-Accenture-DEAMS-final-phase.aspx,,,,ERP,"US,Operational Failure,Government,National,Defense and Veterans Affairs,,$,ERP,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-02-01T07:00:00Z,,UK National Air Traffic Control System Crashes,Numerous flights were delayed.,,,33,minutes,0.505,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.computing.co.uk/ctg/news/1857231/more-failures-nats-west-drayton-control-centre,"A National Air Traffic Services' (Nats) system failure resulted in delays at airports across the UK last night.

Nats identified a fault with its flight data processing (FDP) system at its West Drayton control centre at 6.30pm last night, which it managed to correct by 7.03pm.

At this stage, the cause of the fault is not known but is being investigated.",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-06-01T07:00:00Z,649000000,United Airlines Finally Abandons the Automated Baggage-handling System at Denver International Airport,The cost of the abandoned system was $230 million. Another $70 million was spent on a conventional baggage system that replaced it. And $340 million more was paid in interest. It will cost $9 million over four years to demolish and cart away system the system.,,,,,,,649000000,$,USD,US,The Americas,Project Failure,Commercial,,,Air Transport,http://www.nytimes.com/2005/08/27/national/27denver.html?pagewanted=all.&_r=0; http://www.computerworld.com/article/2556725/it-project-management/united-axes-troubled-baggage-system-at-denver-airport.html; http://spectrum.ieee.org/riskfactor/computing/it/dia_the_final_end_of_the_autom; http://www.vaildaily.com/article/20080114/NEWS/762092730,,,,"airport/port/customs systems, project termination/cancellation","US,Project Failure,Commercial,,,Air Transport,$,airport/port/customs systems, project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-08-01T07:00:00Z,,Virus Patch Takes Down US-Visit Border Screening System,There were delays at ports of entry for most of the day.,,,18,hours,18,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://archive.wired.com/science/discoveries/news/2006/04/70642?currentPage=all,It blames the weaknesses on poor communications between administrators in the field and those at US-VISIT's Virginia data center,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-08-01T07:00:00Z,,UK National Air Traffic Control System Crashes,Numerous flights were delayed.,,,20,minutes,0.3333333333,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.informationweek.com/tech-workers-still-trying-to-solve-heathrow-computer-outage/d/d-id/1035497?,"The Flight Data Processing System failed for 20 minutes earlier this week, causing delays and cancellations.. The spokesman says NATS IT workers haven't yet determined whether a hardware or software problem was to blame for the failure",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-10-01T07:00:00Z,,New AU $250 Million Australian Custom Service Integrated Cargo System Fails,Shipping disruptions in Australian ports persisted for over a year.,,,1,years,8766,,,,,Australia,Asia Pacific and Japan,Operational Failure,Government,National,Customs,,http://www.theage.com.au/news/national/new-customs-it-cargo-system-fails-to-deliver/2005/10/20/1129775901865.html; http://www.3plwire.com/2006/10/11/australias-new-customs-system-still-experiencing-problems/,"Freight cannot be cleared by stevedores or put through quarantine and security because faulty data is being returned by the system.

Containers are backing up at freight terminals all over Australia, operators are facing huge penalties for storage and for failure to deliver goods on time",,,misc,"Australia,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Currency"
2007-03-01T07:00:00Z,,US Airways New Integrated Reservation System Melts Down,The problem caused flight delays for a few days.,,,3,days,72,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://usatoday30.usatoday.com/travel/flights/2007-03-05-us-airways-monday-update_N.htm; http://articles.philly.com/2007-03-06/business/25237309_1_passengers-kiosks-long-lines,,,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-05-01T07:00:00Z,,All Nippon Airways Reservation System Crashes,"130 flights were cancelled and 306 flights were delayed, affecting nearly 70,000 passengers.",,,,,,69300,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://www.infoworld.com/article/2662290/operating-systems/ana-still-in-the-dark-on-reservation-systems-failure.html,,,,airport/port/customs systems,"Japan,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2007-05-01T07:00:00Z,,FAA San Diego TRACON Mapping Software Fails,"When TRACON has a problem, flights are delayed because they aren't allowed to take off.",,,1,hours,1,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-06-01T07:00:00Z,,FAA Atlanta Air Traffic Control Center Computer Fails,Flight were cancelled and delayed along East Coast of the US.,,,4,hours,4,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-06-01T07:00:00Z,,United Airlines Flight and Dispatch Goes Down,United flights were grounded worldwide for two hours.,,,2,hours,2,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/airline_systems_meltdowns,"ANA blamed the problem on the installation of three new computers the previous week.. This afternoon United Airlines said that the cause of the problem was an operational error during routine system testing. Then, during the recovery, a hardware error occurred.

Update 2: AP is reporting that an employee mistake caused the problems with the Unimatic and the back-up system.",,,airport/port/customs systems,"Worldwide,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-02-01T07:00:00Z,,Software Update Crashes London Heathrow T4 Baggage System,"The crash affected the baggace of 4,000 passengers.",,,,,,4000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/baggage_meltdown_at_heathrow,,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2008-03-01T07:00:00Z,32000000,New London Heathrow T5 Baggage System Melts Down,"Six hundred thirty-six of flights were cancelled and delayed over the course a week and a half. Over 140,000 passengers and their bags were affected.",,,10,days,240,140000,32000000,$,USD,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/heathrow_terminal_5_a_bit_sham; http://www.dailymail.co.uk/news/article-558913/Thousands-lost-Terminal-5-bags-burnt-owners-traced.html; http://www.parliament.uk/business/news/2008/11/heathrow-terminal-5/; http://www.cnbc.com/id/23892979,"The head of strategy for BAA, the airport operator, claimed that, ""We're very comfortable in the performance of the (baggage) system itself ..."" but that it was the baggage system operators' fault for the problems that were being experienced",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
2008-04-01T07:00:00Z,,New London Heathrow T5 Baggage System Crashes Again,Two dozen flights were canceled and dozens more were delayed.,,,1,days,24,,, ,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/britsh_airways_terminal_5_back; http://www.telegraph.co.uk/news/uknews/1583995/New-baggage-problems-at-Heathrows-T5.html; http://edition.cnn.com/2008/BUSINESS/04/04/ba.terminal5/; http://www.parliament.uk/business/news/2008/11/heathrow-terminal-5/,"BAA, the airport operator, also issued an apology: ""This morning, a software problem has arisen in the baggage system at T5",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,$,airport/port/customs systems,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-12-01T07:00:00Z,,UK NATS Software Problem Closes UK Airspace for Hours,Hundreds of flights were delayed and disrupted for two days after a 90 minute outage.,,,90,minutes,1.5,236000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.nytimes.com/2014/12/13/world/europe/london-air-traffic-glitch-closes-airspace-and-disrupts-flights.html?_r=0; http://www.itpro.co.uk/business-intelligence/24682/decades-old-bug-wiped-out-uk-air-traffic-control,"Aviation officials blamed what they described as a technical problem at an air traffic control center in Swanwick, England, that has been hit with periodic maladies since it opened in 2002, six years behind schedule.. The precise nature of the problem was not disclosed",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-08-01T07:00:00Z,,FAA Computer Problems Stall Flights Across Eastern US,"The outage lasted for hours, with hundreds of flights delayed.",,,3.5,hours,3.5,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/software_problem_halts_us_flig,"According to news reports, a suspected software problem at 1325 yesterday caused a communication failure at a Hampton, Georgia, Federal Aviation Administration (FAA) facility that processes flight plans for the eastern half of the US. A hardware problem six days ago delayed the departures of at least 134 flights.",,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-09-01T07:00:00Z,,All Nippon Airways Reservation System Crashes,"53 domestic flights were cancelled with another 200 delayed. Over 51,000 passengers were affected.",,,7,hours,7,51000,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/software_problems_halts_ana_fl,"A software problem yesterday with the computer system used to controls reservations, check-in and baggage control for All Nippon Airways Co.'s (ANA) at 50 airports across Japan forced ANA backing into using manual procedures for those tasks, the Japanese Times reported.

As a result, ANA was forced to cancel 53 domestic flights and delay 200 others, affecting over 51,000 passengers in all",,,airport/port/customs systems,"Japan,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2012-06-01T07:00:00Z,419583260,Queensland Health AU $102 Million Payroll System Rollout a Fiasco,"The original estimated cost was AU $6.2 million. At least $440 million is estiamted to have been spent developing the system. It still has problems, and an additional $100 million may be needed to fix the system completely. ",,,,,,,433800000,$,AUD,Australia,Asia Pacific and Japan,Operational Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/outstanding-success-or-nightmare-payroll-system-lawsuit-may-decide,,,IBM,"payroll, health, project problems","Australia,Operational Failure,Government,State/Local,Health and Human Services,,$,payroll, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-07-01T07:00:00Z,,United Airlines Check-in System Crashes,The system was out for 6 hours and 40 minutes. Several flights had to be cancelled and dozens were delayed.,,,7,hours,6.66,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/united-airlines-computer-go-out-at-ohare,,,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-07-01T07:00:00Z,,US Customs Computers Crash Across US,Thousands of travelers were affected by the glitch that lasted for over four hours.,,,5,hours,4.66,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/another-computer-outage-at-ohare-airport,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-11-01T07:00:00Z,,FAA's Atlanta Flight Planning System Problem Hits East Coast Flights,"The outage lasted four hours, delaying 819 flights.",,,4,hours,4,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/faa-computer-problem-causes-widespread-flight-delays-in-us; http://www.aviationtoday.com/regions/usa/FAA-Adopts-FTI-Outage-Fixes_67959.html#.VbEKx_lVhBc,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-04-01T07:00:00Z,,US Customs Computers Crash Across US,Thousands of international passengers faced delays.,,,2,hours,2,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/us-customs-and-border-protection-computer-crashes-last-week-causing-delays-at-airports,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-06-01T07:00:00Z,,Virgin Blue's New AU $10 Million Reservation & Ticketing System Crashes,Australian flights were delayed.,,,95,minutes,1.583333333,,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/virgin-blues-brand-new-airline-reservations-system-crashes; http://www.tnooz.com/article/virgin-blue-flights-delayed-as-navitaire-reservations-systems-crashes/,There was no reason given for why the New Skies system crashed.,,,airport/port/customs systems,"Australia,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Currency"
2010-09-01T07:00:00Z,,Virgin Blue's New AU $10 Million Reservation & Ticketing System Crashes Twice Within Days,"Over 50,000 passengers and 400 flights were affected.",,,21,hours,21,50000,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/up-to-100000-passengers-of-virgin-blue-in-australia-impacted-by-reservation-checkin-system-crash,"David also said, according to Sydney Morning-Herald, that the reservation and check-in system run by Navitaire had failed and there was no back-up method.

This story in IT News reports that there was a hardware problem at Navitaire, and the backup system which should have started within three hours, took 21 instead.

Tuesday's Australian story sheds a bit more light on the issue by stating that ""the solid-state disk server infrastructure used to host Virgin Blue's applications failed.""",,,airport/port/customs systems,"Australia,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Currency"
2010-10-01T07:00:00Z,17496639,Virgin Blue Sues Reservation & Ticketing System Developer for AU $20 Million,The airline reportedly settled with Accenture-owned Navitaire for AU $18 million.,,,,,,,1.8E7,$,AUD,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/virgin-blue-may-want-a20-million-for-reservation-system-meltdown; http://www.theaustralian.com.au/business/navitaire-booking-glitch-earns-virgin-20m-in-compo/story-e6frg8zx-1226033624246,,,"Northrop Grumman, Accenture, Navitaire",airport/port/customs systems,"Australia,Operational Failure,Commercial,,,Air Transport,$,airport/port/customs systems,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-05-01T07:00:00Z,,"US Diversity Visa Lottery Programming Error Means 22,000 Lottery Winners Aren't","State Dept. says the lottery wasn't fair, so will start over.",,,,,,22000,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/software/us-diversity-visa-lottery-programming-problem-22000-unhappy-147-million-happy-about-the-glitch,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - customers affected"
